!TF createItem,,,,,,,,,,,,,,,,,,,,
ItemName,ItemType,AppName,Description,ButtonName,SmallImageURL,MediumImageURL,LargeImageURL,MaxInstances,Properties,ExternalKey,AgeRating,ScarcityThreshold,Categories,SKU,SKUExtension,UnitCostCurrencyName,UnitCost,Revision,ExternalCheckRequired,EmailValidationRequired
POTION_HEALTH_RESTORATION,item,Dragon Age Preprod,Offer Description,POTION_HEALTH_RESTORATION,,,,999991,"DATA={""Items"":{""POTION_HEALTH_RESTORATION"":""1""},""Type"":""STORE"",""ItemName"":""POTION_HEALTH_RESTORATION""}",,,,,,,,,,,
COMBAT_STACK_POTION_HEALTH,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_HEALTH"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_HEALTH""}",,,,,,,,,,,
COMBAT_STACK_POTION_HEALTH_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_HEALTH_GREATER"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_HEALTH_GREATER""}",,,,,,,,,,,
COMBAT_STACK_POTION_HEALTH_RESTORATION,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_HEALTH_RESTORATION"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_HEALTH_RESTORATION""}",,,,,,,,,,,
COMBAT_STACK_POTION_MANA,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_MANA"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_MANA""}",,,,,,,,,,,
COMBAT_STACK_POTION_MANA_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_MANA_GREATER"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_MANA_GREATER""}",,,,,,,,,,,
COMBAT_STACK_POTION_ANTIDOTE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_ANTIDOTE"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_ANTIDOTE""}",,,,,,,,,,,
COMBAT_STACK_POTION_CONCENTRATION,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_CONCENTRATION"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_CONCENTRATION""}",,,,,,,,,,,
COMBAT_STACK_POTION_DEFENSE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_DEFENSE"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_DEFENSE""}",,,,,,,,,,,
COMBAT_STACK_POTION_LUCK,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_LUCK"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_LUCK""}",,,,,,,,,,,
COMBAT_STACK_POTION_POWER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_POWER"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_POWER""}",,,,,,,,,,,
COMBAT_STACK_POTION_SPEED,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_SPEED"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_SPEED""}",,,,,,,,,,,
COMBAT_STACK_KIT_INJURY,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_INJURY"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_INJURY""}",,,,,,,,,,,
COMBAT_STACK_KIT_INJURY_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_INJURY_GREATER"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_INJURY_GREATER""}",,,,,,,,,,,
COMBAT_STACK_KIT_INJURY_TEAM,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_INJURY_TEAM"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_INJURY_TEAM""}",,,,,,,,,,,
COMBAT_STACK_KIT_ANTIDOTE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_ANTIDOTE"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_ANTIDOTE""}",,,,,,,,,,,
COMBAT_STACK_KIT_BRACING,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_BRACING"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_BRACING""}",,,,,,,,,,,
COMBAT_STACK_KIT_MANA,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_MANA"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_MANA""}",,,,,,,,,,,
COMBAT_STACK_KIT_MANA_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_MANA_GREATER"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_MANA_GREATER""}",,,,,,,,,,,
COMBAT_STACK_KIT_MANA_TEAM,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_MANA_TEAM"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_MANA_TEAM""}",,,,,,,,,,,
COMBAT_STACK_KIT_POULTICE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_POULTICE"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_POULTICE""}",,,,,,,,,,,
COMBAT_STACK_KIT_TALENT_TEAM,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_TALENT_TEAM"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_TALENT_TEAM""}",,,,,,,,,,,
COMBAT_STACK_KIT_BATTLE_TEAM,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_BATTLE_TEAM"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_BATTLE_TEAM""}",,,,,,,,,,,
COMBAT_STACK_BOMB_SHARD,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_SHARD"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_BOMB_SHARD""}",,,,,,,,,,,
COMBAT_STACK_BOMB_FIRE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_FIRE"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_BOMB_FIRE""}",,,,,,,,,,,
COMBAT_STACK_BOMB_FROST,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_FROST"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_BOMB_FROST""}",,,,,,,,,,,
COMBAT_STACK_BOMB_SHOCK,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_SHOCK"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_BOMB_SHOCK""}",,,,,,,,,,,
COMBAT_STACK_BOMB_GREASE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_GREASE"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_BOMB_GREASE""}",,,,,,,,,,,
COMBAT_STACK_BOMB_ACID,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_ACID"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_BOMB_ACID""}",,,,,,,,,,,
COMBAT_STACK_BOMB_POISON,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_POISON"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_BOMB_POISON""}",,,,,,,,,,,
COMBAT_STACK_BOMB_TIME,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_TIME"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_BOMB_TIME""}",,,,,,,,,,,
COMBAT_STACK_BOMB_SMOKE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_SMOKE"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_BOMB_SMOKE""}",,,,,,,,,,,
COMBAT_STACK_BOMB_FLAME_WAVE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_FLAME_WAVE"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_BOMB_FLAME_WAVE""}",,,,,,,,,,,
COMBAT_STACK_BOMB_FROST_TORRENT,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_FROST_TORRENT"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_BOMB_FROST_TORRENT""}",,,,,,,,,,,
COMBAT_STACK_BOMB_POISON_CLOUD,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_POISON_CLOUD"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_BOMB_POISON_CLOUD""}",,,,,,,,,,,
COMBAT_STACK_BOMB_DISPEL,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_DISPEL"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_BOMB_DISPEL""}",,,,,,,,,,,
COMBAT_STACK_KIT_CLEANSING,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_CLEANSING"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_CLEANSING""}",,,,,,,,,,,
COMBAT_STACK_KIT_MANA_TEAM_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_MANA_TEAM_GREATER"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_MANA_TEAM_GREATER""}",,,,,,,,,,,
COMBAT_STACK_KIT_BATTLE_POULTICE_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_BATTLE_POULTICE_GREATER"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_KIT_BATTLE_POULTICE_GREATER""}",,,,,,,,,,,
COMBAT_STACK_POTION_REVITALIZE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_REVITALIZE"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_REVITALIZE""}",,,,,,,,,,,
COMBAT_STACK_POTION_LIFE_WARD,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_LIFE_WARD"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_LIFE_WARD""}",,,,,,,,,,,
COMBAT_STACK_POTION_RESISTANCE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_RESISTANCE"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_RESISTANCE""}",,,,,,,,,,,
COMBAT_STACK_POTION_INSIGHT,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_INSIGHT"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""COMBAT_STACK_POTION_INSIGHT""}",,,,,,,,,,,
STACK_POTION_HEALTH,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_HEALTH"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_HEALTH""}",,,,,,,,,,,
STACK_POTION_HEALTH_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_HEALTH_GREATER"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_HEALTH_GREATER""}",,,,,,,,,,,
STACK_POTION_HEALTH_RESTORATION,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_HEALTH_RESTORATION"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_HEALTH_RESTORATION""}",,,,,,,,,,,
STACK_POTION_MANA,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_MANA"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_MANA""}",,,,,,,,,,,
STACK_POTION_MANA_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_MANA_GREATER"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_MANA_GREATER""}",,,,,,,,,,,
STACK_POTION_ANTIDOTE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_ANTIDOTE"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_ANTIDOTE""}",,,,,,,,,,,
STACK_POTION_CONCENTRATION,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_CONCENTRATION"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_CONCENTRATION""}",,,,,,,,,,,
STACK_POTION_DEFENSE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_DEFENSE"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_DEFENSE""}",,,,,,,,,,,
STACK_POTION_LUCK,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_LUCK"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_LUCK""}",,,,,,,,,,,
STACK_POTION_POWER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_POWER"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_POWER""}",,,,,,,,,,,
STACK_POTION_SPEED,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_SPEED"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_SPEED""}",,,,,,,,,,,
STACK_KIT_INJURY,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_INJURY"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_INJURY""}",,,,,,,,,,,
STACK_KIT_INJURY_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_INJURY_GREATER"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_INJURY_GREATER""}",,,,,,,,,,,
STACK_KIT_INJURY_TEAM,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_INJURY_TEAM"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_INJURY_TEAM""}",,,,,,,,,,,
STACK_KIT_ANTIDOTE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_ANTIDOTE"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_ANTIDOTE""}",,,,,,,,,,,
STACK_KIT_BRACING,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_BRACING"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_BRACING""}",,,,,,,,,,,
STACK_KIT_MANA,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_MANA"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_MANA""}",,,,,,,,,,,
STACK_KIT_MANA_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_MANA_GREATER"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_MANA_GREATER""}",,,,,,,,,,,
STACK_KIT_MANA_TEAM,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_MANA_TEAM"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_MANA_TEAM""}",,,,,,,,,,,
STACK_KIT_POULTICE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_POULTICE"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_POULTICE""}",,,,,,,,,,,
STACK_KIT_TALENT_TEAM,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_TALENT_TEAM"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_TALENT_TEAM""}",,,,,,,,,,,
STACK_KIT_BATTLE_TEAM,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_BATTLE_TEAM"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_BATTLE_TEAM""}",,,,,,,,,,,
STACK_BOMB_SHARD,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_SHARD"":""20""},""Type"":""STORE"",""ItemName"":""STACK_BOMB_SHARD""}",,,,,,,,,,,
STACK_BOMB_FIRE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_FIRE"":""20""},""Type"":""STORE"",""ItemName"":""STACK_BOMB_FIRE""}",,,,,,,,,,,
STACK_BOMB_FROST,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_FROST"":""20""},""Type"":""STORE"",""ItemName"":""STACK_BOMB_FROST""}",,,,,,,,,,,
STACK_BOMB_SHOCK,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_SHOCK"":""20""},""Type"":""STORE"",""ItemName"":""STACK_BOMB_SHOCK""}",,,,,,,,,,,
STACK_BOMB_GREASE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_GREASE"":""20""},""Type"":""STORE"",""ItemName"":""STACK_BOMB_GREASE""}",,,,,,,,,,,
STACK_BOMB_ACID,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_ACID"":""20""},""Type"":""STORE"",""ItemName"":""STACK_BOMB_ACID""}",,,,,,,,,,,
STACK_BOMB_POISON,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_POISON"":""20""},""Type"":""STORE"",""ItemName"":""STACK_BOMB_POISON""}",,,,,,,,,,,
STACK_BOMB_TIME,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_TIME"":""20""},""Type"":""STORE"",""ItemName"":""STACK_BOMB_TIME""}",,,,,,,,,,,
STACK_BOMB_SMOKE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_SMOKE"":""20""},""Type"":""STORE"",""ItemName"":""STACK_BOMB_SMOKE""}",,,,,,,,,,,
STACK_BOMB_FLAME_WAVE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_FLAME_WAVE"":""20""},""Type"":""STORE"",""ItemName"":""STACK_BOMB_FLAME_WAVE""}",,,,,,,,,,,
STACK_BOMB_FROST_TORRENT,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_FROST_TORRENT"":""20""},""Type"":""STORE"",""ItemName"":""STACK_BOMB_FROST_TORRENT""}",,,,,,,,,,,
STACK_BOMB_POISON_CLOUD,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_POISON_CLOUD"":""20""},""Type"":""STORE"",""ItemName"":""STACK_BOMB_POISON_CLOUD""}",,,,,,,,,,,
STACK_BOMB_DISPEL,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""BOMB_DISPEL"":""20""},""Type"":""STORE"",""ItemName"":""STACK_BOMB_DISPEL""}",,,,,,,,,,,
STACK_KIT_CLEANSING,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_CLEANSING"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_CLEANSING""}",,,,,,,,,,,
STACK_KIT_MANA_TEAM_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_MANA_TEAM_GREATER"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_MANA_TEAM_GREATER""}",,,,,,,,,,,
STACK_KIT_BATTLE_POULTICE_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""KIT_BATTLE_POULTICE_GREATER"":""20""},""Type"":""STORE"",""ItemName"":""STACK_KIT_BATTLE_POULTICE_GREATER""}",,,,,,,,,,,
STACK_POTION_REVITALIZE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_REVITALIZE"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_REVITALIZE""}",,,,,,,,,,,
STACK_POTION_LIFE_WARD,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_LIFE_WARD"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_LIFE_WARD""}",,,,,,,,,,,
STACK_POTION_RESISTANCE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_RESISTANCE"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_RESISTANCE""}",,,,,,,,,,,
STACK_POTION_INSIGHT,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_INSIGHT"":""20""},""Type"":""STORE"",""ItemName"":""STACK_POTION_INSIGHT""}",,,,,,,,,,,
GVG_STACK_POTION_HEALTH,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_HEALTH"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""GVG_STACK_POTION_HEALTH""}",,,,,,,,,,,
GVG_STACK_POTION_HEALTH_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_HEALTH_GREATER"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""GVG_STACK_POTION_HEALTH_GREATER""}",,,,,,,,,,,
GVG_STACK_POTION_HEALTH_RESTORATION,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_HEALTH_RESTORATION"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""GVG_STACK_POTION_HEALTH_RESTORATION""}",,,,,,,,,,,
GVG_STACK_POTION_MANA,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_MANA"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""GVG_STACK_POTION_MANA""}",,,,,,,,,,,
GVG_STACK_POTION_MANA_GREATER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_MANA_GREATER"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""GVG_STACK_POTION_MANA_GREATER""}",,,,,,,,,,,
GVG_STACK_POTION_ANTIDOTE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_ANTIDOTE"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""GVG_STACK_POTION_ANTIDOTE""}",,,,,,,,,,,
GVG_STACK_POTION_CONCENTRATION,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_CONCENTRATION"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""GVG_STACK_POTION_CONCENTRATION""}",,,,,,,,,,,
GVG_STACK_POTION_DEFENSE,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_DEFENSE"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""GVG_STACK_POTION_DEFENSE""}",,,,,,,,,,,
GVG_STACK_POTION_LUCK,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_LUCK"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""GVG_STACK_POTION_LUCK""}",,,,,,,,,,,
GVG_STACK_POTION_POWER,item,Dragon Age Preprod,Offer Description,,,,,-1,"DATA={""Items"":{""POTION_POWER"":""5""},""Type"":""COMBAT_UPSELL"",""ItemName"":""GVG_STACK_POTION_POWER""}",,,,,,,,,,,
