group,path,fmt,w,h,alpha,size,mode
eaRig,genlock/anims/idle/f/14/d,WEBP,121,102,True,5682,RGBA
eaRig,genlock/anims/idle/f/15/d,WEBP,121,103,True,5730,RGBA
eaRig,genlock/anims/idle/f/16/d,WEBP,121,103,True,5760,RGBA
eaRig,genlock/anims/strike/f/0/d,WEBP,121,103,True,5664,RGBA
eaRig,genlock/anims/strike/f/1/d,WEBP,121,108,True,5446,RGBA
eaRig,genlock/anims/strike/f/2/d,WEBP,121,111,True,5206,RGBA
eaRig,genlock/anims/strike/f/3/d,WEBP,121,114,True,5350,RGBA
eaRig,genlock/anims/strike/f/4/d,WEBP,121,116,True,4868,RGBA
eaRig,genlock/anims/strike/f/5/d,WEBP,121,114,True,4640,RGBA
eaRig,genlock/anims/strike/f/6/d,WEBP,121,107,True,5138,RGBA
eaRig,genlock/anims/strike/f/7/d,WEBP,178,103,True,6266,RGBA
eaRig,genlock/anims/strike/f/8/d,WEBP,157,92,True,5908,RGBA
eaRig,genlock/anims/strike/f/9/d,WEBP,135,81,True,4890,RGBA
eaRig,genlock/anims/strike/f/10/d,WEBP,129,80,True,4706,RGBA
eaRig,genlock/anims/strike/f/11/d,WEBP,126,85,True,4982,RGBA
eaRig,genlock/anims/strike/f/12/d,WEBP,121,94,True,5380,RGBA
eaRig,genlock/anims/strike/f/13/d,WEBP,121,103,True,5664,RGBA
eaRig,shadeDemon/anims/death/f/0/d,WEBP,168,140,True,5464,RGBA
eaRig,shadeDemon/anims/death/f/1/d,WEBP,210,143,True,5406,RGBA
eaRig,shadeDemon/anims/death/f/2/d,WEBP,194,148,True,5112,RGBA
eaRig,shadeDemon/anims/death/f/3/d,WEBP,172,145,True,4960,RGBA
eaRig,shadeDemon/anims/death/f/4/d,WEBP,164,134,True,5066,RGBA
eaRig,shadeDemon/anims/death/f/5/d,WEBP,162,121,True,4756,RGBA
eaRig,shadeDemon/anims/death/f/6/d,WEBP,162,107,True,4412,RGBA
eaRig,shadeDemon/anims/death/f/7/d,WEBP,153,98,True,4524,RGBA
eaRig,shadeDemon/anims/death/f/8/d,WEBP,154,97,True,4402,RGBA
eaRig,shadeDemon/anims/death/f/9/d,WEBP,155,98,True,4424,RGBA
eaRig,shadeDemon/anims/death/f/10/d,WEBP,154,97,True,4250,RGBA
eaRig,shadeDemon/anims/death/f/11/d,WEBP,154,97,True,4240,RGBA
eaRig,shadeDemon/anims/death/f/12/d,WEBP,154,97,True,4130,RGBA
eaRig,shadeDemon/anims/death/f/13/d,WEBP,158,93,True,2970,RGBA
eaRig,shadeDemon/anims/death/f/14/d,WEBP,154,49,True,1538,RGBA
eaRig,shadeDemon/anims/death/f/15/d,WEBP,155,22,True,1248,RGBA
eaRig,shadeDemon/anims/death/f/16/d,WEBP,154,21,True,1002,RGBA
eaRig,shadeDemon/anims/death/f/17/d,WEBP,155,21,True,1104,RGBA
eaRig,shadeDemon/anims/dmg/f/0/d,WEBP,169,140,True,5384,RGBA
eaRig,shadeDemon/anims/dmg/f/1/d,WEBP,163,140,True,5468,RGBA
eaRig,shadeDemon/anims/dmg/f/2/d,WEBP,163,139,True,5124,RGBA
eaRig,shadeDemon/anims/dmg/f/3/d,WEBP,163,139,True,5134,RGBA
eaRig,shadeDemon/anims/dmg/f/4/d,WEBP,163,138,True,5156,RGBA
eaRig,shadeDemon/anims/dmg/f/5/d,WEBP,163,138,True,5242,RGBA
eaRig,shadeDemon/anims/dmg/f/6/d,WEBP,166,137,True,5228,RGBA
eaRig,shadeDemon/anims/dmg/f/7/d,WEBP,171,138,True,5460,RGBA
eaRig,shadeDemon/anims/dmg/f/8/d,WEBP,174,139,True,4708,RGBA
eaRig,shadeDemon/anims/dmg/f/9/d,WEBP,172,139,True,5312,RGBA
eaRig,shadeDemon/anims/dmg/f/10/d,WEBP,170,140,True,5418,RGBA
eaRig,shadeDemon/anims/dmg/f/11/d,WEBP,169,140,True,5384,RGBA
eaRig,shadeDemon/anims/idle/f/0/d,WEBP,168,140,True,5564,RGBA
eaRig,shadeDemon/anims/idle/f/1/d,WEBP,170,140,True,5458,RGBA
eaRig,shadeDemon/anims/idle/f/2/d,WEBP,171,139,True,5456,RGBA
eaRig,shadeDemon/anims/idle/f/3/d,WEBP,173,139,True,4754,RGBA
eaRig,shadeDemon/anims/idle/f/4/d,WEBP,174,140,True,5354,RGBA
eaRig,shadeDemon/anims/idle/f/5/d,WEBP,175,141,True,5424,RGBA
eaRig,shadeDemon/anims/idle/f/6/d,WEBP,177,141,True,4722,RGBA
eaRig,shadeDemon/anims/idle/f/7/d,WEBP,178,141,True,5530,RGBA
eaRig,shadeDemon/anims/idle/f/8/d,WEBP,177,141,True,5564,RGBA
eaRig,shadeDemon/anims/idle/f/9/d,WEBP,176,141,True,5550,RGBA
eaRig,shadeDemon/anims/idle/f/10/d,WEBP,175,141,True,5578,RGBA
eaRig,shadeDemon/anims/idle/f/11/d,WEBP,173,141,True,5546,RGBA
eaRig,shadeDemon/anims/idle/f/12/d,WEBP,172,141,True,5538,RGBA
eaRig,shadeDemon/anims/idle/f/13/d,WEBP,170,140,True,4790,RGBA
eaRig,shadeDemon/anims/idle/f/14/d,WEBP,168,140,True,5564,RGBA
eaRig,shadeDemon/anims/strike/f/0/d,WEBP,168,140,True,5498,RGBA
eaRig,shadeDemon/anims/strike/f/1/d,WEBP,165,140,True,5216,RGBA
eaRig,shadeDemon/anims/strike/f/2/d,WEBP,163,141,True,5398,RGBA
eaRig,shadeDemon/anims/strike/f/3/d,WEBP,163,140,True,5254,RGBA
eaRig,shadeDemon/anims/strike/f/4/d,WEBP,163,139,True,5372,RGBA
eaRig,shadeDemon/anims/strike/f/5/d,WEBP,163,138,True,5586,RGBA
eaRig,shadeDemon/anims/strike/f/6/d,WEBP,163,138,True,5408,RGBA
eaRig,shadeDemon/anims/strike/f/7/d,WEBP,163,137,True,5688,RGBA
eaRig,shadeDemon/anims/strike/f/8/d,WEBP,164,136,True,5868,RGBA
eaRig,shadeDemon/anims/strike/f/9/d,WEBP,164,135,True,5804,RGBA
eaRig,shadeDemon/anims/strike/f/10/d,WEBP,164,135,True,5858,RGBA
eaRig,shadeDemon/anims/strike/f/11/d,WEBP,165,134,True,5858,RGBA
eaRig,shadeDemon/anims/strike/f/12/d,WEBP,166,139,True,5568,RGBA
eaRig,shadeDemon/anims/strike/f/13/d,WEBP,163,168,True,6318,RGBA
eaRig,shadeDemon/anims/strike/f/14/d,WEBP,166,206,True,7226,RGBA
eaRig,shadeDemon/anims/strike/f/15/d,WEBP,229,151,True,5660,RGBA
eaRig,shadeDemon/anims/strike/f/16/d,WEBP,214,146,True,5908,RGBA
eaRig,shadeDemon/anims/strike/f/17/d,WEBP,172,142,True,5570,RGBA
eaRig,shadeDemon/anims/strike/f/18/d,WEBP,170,139,True,5452,RGBA
eaRig,shadeDemon/anims/strike/f/19/d,WEBP,169,139,True,5522,RGBA
eaRig,shadeDemon/anims/strike/f/20/d,WEBP,168,140,True,5498,RGBA
eaRig,golem/anims/death/f/0/d,WEBP,207,285,True,19060,RGBA
eaRig,golem/anims/death/f/1/d,WEBP,227,340,True,22890,RGBA
eaRig,golem/anims/death/f/2/d,WEBP,231,309,True,19734,RGBA
eaRig,golem/anims/death/f/3/d,WEBP,234,170,True,10142,RGBA
eaRig,golem/anims/death/f/4/d,WEBP,234,154,True,9868,RGBA
eaRig,golem/anims/death/f/5/d,WEBP,234,154,True,10024,RGBA
eaRig,golem/anims/death/f/6/d,WEBP,234,154,True,10126,RGBA
eaRig,golem/anims/death/f/7/d,WEBP,234,154,True,10062,RGBA
eaRig,golem/anims/death/f/8/d,WEBP,234,154,True,10130,RGBA
eaRig,golem/anims/death/f/9/d,WEBP,234,154,True,10056,RGBA
eaRig,golem/anims/dmg/f/0/d,WEBP,206,285,True,19030,RGBA
eaRig,golem/anims/dmg/f/1/d,WEBP,247,304,True,23134,RGBA
eaRig,golem/anims/dmg/f/2/d,WEBP,250,302,True,23010,RGBA
eaRig,golem/anims/dmg/f/3/d,WEBP,262,289,True,23184,RGBA
eaRig,golem/anims/dmg/f/4/d,WEBP,266,275,True,20348,RGBA
eaRig,golem/anims/dmg/f/5/d,WEBP,237,277,True,19984,RGBA
eaRig,golem/anims/dmg/f/6/d,WEBP,206,285,True,19068,RGBA
eaRig,golem/anims/idle/f/0/d,WEBP,207,285,True,18906,RGBA
eaRig,golem/anims/idle/f/1/d,WEBP,207,285,True,18964,RGBA
eaRig,golem/anims/idle/f/2/d,WEBP,209,286,True,19478,RGBA
eaRig,golem/anims/idle/f/3/d,WEBP,212,288,True,20204,RGBA
eaRig,golem/anims/idle/f/4/d,WEBP,216,290,True,20892,RGBA
eaRig,golem/anims/idle/f/5/d,WEBP,218,290,True,21260,RGBA
eaRig,golem/anims/idle/f/6/d,WEBP,220,288,True,21242,RGBA
eaRig,golem/anims/idle/f/7/d,WEBP,225,284,True,21334,RGBA
eaRig,golem/anims/idle/f/8/d,WEBP,230,280,True,21510,RGBA
eaRig,golem/anims/idle/f/9/d,WEBP,234,276,True,21896,RGBA
eaRig,golem/anims/idle/f/10/d,WEBP,234,277,True,21978,RGBA
eaRig,golem/anims/idle/f/11/d,WEBP,235,279,True,22164,RGBA
eaRig,golem/anims/idle/f/12/d,WEBP,238,283,True,22352,RGBA
eaRig,golem/anims/idle/f/13/d,WEBP,242,287,True,22588,RGBA
eaRig,golem/anims/idle/f/14/d,WEBP,244,290,True,22356,RGBA
eaRig,golem/anims/idle/f/15/d,WEBP,240,290,True,22282,RGBA
eaRig,golem/anims/idle/f/16/d,WEBP,229,289,True,21284,RGBA
eaRig,golem/anims/idle/f/17/d,WEBP,215,287,True,20250,RGBA
eaRig,golem/anims/idle/f/18/d,WEBP,208,286,True,19294,RGBA
eaRig,golem/anims/idle/f/19/d,WEBP,207,286,True,19292,RGBA
eaRig,golem/anims/strike/f/0/d,WEBP,206,286,True,18796,RGBA
eaRig,golem/anims/strike/f/1/d,WEBP,184,271,True,13538,RGBA
eaRig,golem/anims/strike/f/2/d,WEBP,189,260,True,14406,RGBA
eaRig,golem/anims/strike/f/3/d,WEBP,193,259,True,14448,RGBA
eaRig,golem/anims/strike/f/4/d,WEBP,198,257,True,14498,RGBA
eaRig,golem/anims/strike/f/5/d,WEBP,183,279,True,13644,RGBA
eaRig,golem/anims/strike/f/6/d,WEBP,405,440,True,28794,RGBA
eaRig,golem/anims/strike/f/7/d,WEBP,302,424,True,23348,RGBA
eaRig,golem/anims/strike/f/8/d,WEBP,292,413,True,22596,RGBA
eaRig,golem/anims/strike/f/9/d,WEBP,289,402,True,21930,RGBA
eaRig,golem/anims/strike/f/10/d,WEBP,294,393,True,23926,RGBA
eaRig,golem/anims/strike/f/11/d,WEBP,315,356,True,22850,RGBA
eaRig,golem/anims/strike/f/12/d,WEBP,328,292,True,22280,RGBA
eaRig,golem/anims/strike/f/13/d,WEBP,206,286,True,19116,RGBA
eaRig,corpse/anims/death/f/0/d,WEBP,65,113,True,3792,RGBA
eaRig,corpse/anims/death/f/1/d,WEBP,61,115,True,3274,RGBA
eaRig,corpse/anims/death/f/2/d,WEBP,71,106,True,3154,RGBA
eaRig,corpse/anims/death/f/3/d,WEBP,82,99,True,3718,RGBA
eaRig,corpse/anims/death/f/4/d,WEBP,74,106,True,2928,RGBA
eaRig,corpse/anims/death/f/5/d,WEBP,83,118,True,3444,RGBA
eaRig,corpse/anims/death/f/6/d,WEBP,101,106,True,3118,RGBA
eaRig,corpse/anims/death/f/7/d,WEBP,128,63,True,2774,RGBA
eaRig,corpse/anims/death/f/8/d,WEBP,119,56,True,2754,RGBA
eaRig,corpse/anims/death/f/9/d,WEBP,126,52,True,2766,RGBA
eaRig,corpse/anims/death/f/10/d,WEBP,141,51,True,2822,RGBA
eaRig,corpse/anims/death/f/11/d,WEBP,143,47,True,2612,RGBA
eaRig,corpse/anims/death/f/12/d,WEBP,143,27,True,2502,RGBA
eaRig,corpse/anims/dmg/f/0/d,WEBP,65,112,True,3472,RGBA
eaRig,corpse/anims/dmg/f/1/d,WEBP,65,112,True,3156,RGBA
eaRig,corpse/anims/dmg/f/2/d,WEBP,65,119,True,3812,RGBA
eaRig,corpse/anims/dmg/f/3/d,WEBP,65,117,True,3522,RGBA
eaRig,corpse/anims/dmg/f/4/d,WEBP,65,113,True,3362,RGBA
eaRig,corpse/anims/dmg/f/5/d,WEBP,65,109,True,3700,RGBA
eaRig,corpse/anims/dmg/f/6/d,WEBP,65,110,True,3394,RGBA
eaRig,corpse/anims/dmg/f/7/d,WEBP,65,111,True,3744,RGBA
eaRig,corpse/anims/dmg/f/8/d,WEBP,65,112,True,3786,RGBA
eaRig,corpse/anims/dmg/f/9/d,WEBP,65,112,True,3472,RGBA
eaRig,corpse/anims/idle/f/0/d,WEBP,65,113,True,3432,RGBA
eaRig,corpse/anims/idle/f/1/d,WEBP,65,111,True,3744,RGBA
eaRig,corpse/anims/idle/f/2/d,WEBP,65,108,True,3790,RGBA
eaRig,corpse/anims/idle/f/3/d,WEBP,65,106,True,3554,RGBA
eaRig,corpse/anims/idle/f/4/d,WEBP,65,108,True,3650,RGBA
eaRig,corpse/anims/idle/f/5/d,WEBP,65,111,True,3552,RGBA
eaRig,corpse/anims/idle/f/6/d,WEBP,65,114,True,3356,RGBA
eaRig,corpse/anims/idle/f/7/d,WEBP,65,114,True,3660,RGBA
eaRig,corpse/anims/idle/f/8/d,WEBP,65,112,True,3406,RGBA
eaRig,corpse/anims/idle/f/9/d,WEBP,65,109,True,3456,RGBA
eaRig,corpse/anims/idle/f/10/d,WEBP,65,109,True,3458,RGBA
eaRig,corpse/anims/idle/f/11/d,WEBP,65,111,True,3428,RGBA
eaRig,corpse/anims/idle/f/12/d,WEBP,65,112,True,3574,RGBA
eaRig,corpse/anims/strike/f/0/d,WEBP,64,112,True,3494,RGBA
eaRig,corpse/anims/strike/f/1/d,WEBP,64,116,True,3472,RGBA
eaRig,corpse/anims/strike/f/2/d,WEBP,64,116,True,3746,RGBA
eaRig,corpse/anims/strike/f/3/d,WEBP,70,116,True,3702,RGBA
eaRig,corpse/anims/strike/f/4/d,WEBP,77,116,True,3584,RGBA
eaRig,corpse/anims/strike/f/5/d,WEBP,89,96,True,3646,RGBA
eaRig,corpse/anims/strike/f/6/d,WEBP,106,85,True,3692,RGBA
eaRig,corpse/anims/strike/f/7/d,WEBP,87,103,True,3828,RGBA
eaRig,corpse/anims/strike/f/8/d,WEBP,75,115,True,3602,RGBA
eaRig,corpse/anims/strike/f/9/d,WEBP,64,112,True,3494,RGBA
eaRig,spiders/anims/death/f/0/d,WEBP,164,105,True,7148,RGBA
eaRig,spiders/anims/death/f/1/d,WEBP,157,147,True,7762,RGBA
eaRig,spiders/anims/death/f/2/d,WEBP,145,129,True,6080,RGBA
eaRig,spiders/anims/death/f/3/d,WEBP,104,75,True,4138,RGBA
eaRig,spiders/anims/death/f/4/d,WEBP,103,76,True,5764,RGBA
eaRig,spiders/anims/death/f/5/d,WEBP,103,75,True,4978,RGBA
eaRig,spiders/anims/death/f/6/d,WEBP,101,75,True,2272,RGBA
eaRig,spiders/anims/death/f/7/d,WEBP,107,69,True,3208,RGBA
eaRig,spiders/anims/death/f/8/d,WEBP,106,63,True,3106,RGBA
eaRig,spiders/anims/death/f/9/d,WEBP,100,53,True,2858,RGBA
eaRig,spiders/anims/death/f/10/d,WEBP,97,41,True,2624,RGBA
eaRig,spiders/anims/death/f/11/d,WEBP,83,32,True,1624,RGBA
eaRig,spiders/anims/death/f/12/d,WEBP,61,28,True,156,RGBA
eaRig,spiders/anims/dmg/f/0/d,WEBP,164,105,True,7160,RGBA
eaRig,spiders/anims/dmg/f/1/d,WEBP,164,118,True,8340,RGBA
eaRig,spiders/anims/dmg/f/2/d,WEBP,165,109,True,8534,RGBA
eaRig,spiders/anims/dmg/f/3/d,WEBP,197,105,True,8676,RGBA
eaRig,spiders/anims/dmg/f/4/d,WEBP,214,105,True,8696,RGBA
eaRig,spiders/anims/dmg/f/5/d,WEBP,214,105,True,8696,RGBA
eaRig,spiders/anims/dmg/f/6/d,WEBP,214,105,True,8696,RGBA
eaRig,spiders/anims/dmg/f/7/d,WEBP,214,105,True,8696,RGBA
eaRig,spiders/anims/idle/f/0/d,WEBP,164,105,True,7228,RGBA
eaRig,spiders/anims/idle/f/1/d,WEBP,168,105,True,7098,RGBA
eaRig,spiders/anims/idle/f/2/d,WEBP,172,105,True,7124,RGBA
eaRig,spiders/anims/idle/f/3/d,WEBP,177,105,True,7096,RGBA
eaRig,spiders/anims/idle/f/4/d,WEBP,181,105,True,7100,RGBA
eaRig,spiders/anims/idle/f/5/d,WEBP,178,105,True,7148,RGBA
eaRig,spiders/anims/idle/f/6/d,WEBP,171,105,True,7236,RGBA
eaRig,spiders/anims/idle/f/7/d,WEBP,170,105,True,7254,RGBA
eaRig,spiders/anims/idle/f/8/d,WEBP,169,105,True,7202,RGBA
eaRig,spiders/anims/idle/f/9/d,WEBP,168,105,True,7260,RGBA
eaRig,spiders/anims/idle/f/10/d,WEBP,168,105,True,7272,RGBA
eaRig,spiders/anims/idle/f/11/d,WEBP,167,105,True,7228,RGBA
eaRig,spiders/anims/idle/f/12/d,WEBP,166,105,True,7228,RGBA
eaRig,spiders/anims/idle/f/13/d,WEBP,165,105,True,7250,RGBA
eaRig,spiders/anims/idle/f/14/d,WEBP,164,105,True,7242,RGBA
eaRig,spiders/anims/idle/f/15/d,WEBP,164,105,True,7226,RGBA
eaRig,spiders/anims/idle/f/16/d,WEBP,164,105,True,7188,RGBA
eaRig,spiders/anims/idle/f/17/d,WEBP,164,105,True,7228,RGBA
eaRig,spiders/anims/idle/f/18/d,WEBP,164,105,True,7228,RGBA
eaRig,spiders/anims/idle/f/19/d,WEBP,164,105,True,7228,RGBA
eaRig,spiders/anims/idle/f/20/d,WEBP,164,105,True,7228,RGBA
eaRig,spiders/anims/idle/f/21/d,WEBP,164,105,True,7228,RGBA
eaRig,spiders/anims/idle/f/22/d,WEBP,164,105,True,7228,RGBA
eaRig,spiders/anims/idle/f/23/d,WEBP,164,105,True,7230,RGBA
eaRig,spiders/anims/idle/f/24/d,WEBP,164,105,True,7242,RGBA
eaRig,spiders/anims/idle/f/25/d,WEBP,164,105,True,7236,RGBA
eaRig,spiders/anims/idle/f/26/d,WEBP,164,105,True,7232,RGBA
eaRig,spiders/anims/idle/f/27/d,WEBP,164,105,True,7232,RGBA
eaRig,spiders/anims/idle/f/28/d,WEBP,164,105,True,7228,RGBA
eaRig,spiders/anims/idle/f/29/d,WEBP,164,105,True,7236,RGBA
eaRig,spiders/anims/idle/f/30/d,WEBP,164,105,True,7244,RGBA
eaRig,spiders/anims/idle/f/31/d,WEBP,164,105,True,7178,RGBA
eaRig,spiders/anims/idle/f/32/d,WEBP,164,105,True,7252,RGBA
eaRig,spiders/anims/idle/f/33/d,WEBP,164,105,True,7238,RGBA
eaRig,spiders/anims/idle/f/34/d,WEBP,164,105,True,7222,RGBA
eaRig,spiders/anims/idle/f/35/d,WEBP,164,105,True,7244,RGBA
eaRig,spiders/anims/idle/f/36/d,WEBP,164,105,True,7260,RGBA
eaRig,spiders/anims/idle/f/37/d,WEBP,164,105,True,7228,RGBA
eaRig,spiders/anims/strike/f/0/d,WEBP,164,105,True,7252,RGBA
eaRig,spiders/anims/strike/f/1/d,WEBP,164,104,True,7272,RGBA
eaRig,spiders/anims/strike/f/2/d,WEBP,170,119,True,7172,RGBA
eaRig,spiders/anims/strike/f/3/d,WEBP,185,127,True,6874,RGBA
eaRig,spiders/anims/strike/f/4/d,WEBP,229,98,True,7700,RGBA
eaRig,spiders/anims/strike/f/5/d,WEBP,222,96,True,7494,RGBA
eaRig,spiders/anims/strike/f/6/d,WEBP,203,97,True,7298,RGBA
eaRig,spiders/anims/strike/f/7/d,WEBP,183,101,True,7266,RGBA
eaRig,spiders/anims/strike/f/8/d,WEBP,164,105,True,7252,RGBA
eaRig,ogre/anims/death/f/0/d,WEBP,192,296,True,16080,RGBA
eaRig,ogre/anims/death/f/1/d,WEBP,192,267,True,14400,RGBA
eaRig,ogre/anims/death/f/2/d,WEBP,195,279,True,13910,RGBA
eaRig,ogre/anims/death/f/3/d,WEBP,167,237,True,11640,RGBA
eaRig,ogre/anims/death/f/4/d,WEBP,166,230,True,10804,RGBA
eaRig,ogre/anims/death/f/5/d,WEBP,166,232,True,10706,RGBA
eaRig,ogre/anims/death/f/6/d,WEBP,166,231,True,10454,RGBA
eaRig,ogre/anims/death/f/7/d,WEBP,166,231,True,10560,RGBA
eaRig,ogre/anims/death/f/8/d,WEBP,166,232,True,10574,RGBA
eaRig,ogre/anims/death/f/9/d,WEBP,294,140,True,10936,RGBA
eaRig,ogre/anims/death/f/10/d,WEBP,348,118,True,10084,RGBA
eaRig,ogre/anims/death/f/11/d,WEBP,359,120,True,10438,RGBA
eaRig,ogre/anims/death/f/12/d,WEBP,368,124,True,10574,RGBA
eaRig,ogre/anims/death/f/13/d,WEBP,293,108,True,9514,RGBA
eaRig,ogre/anims/death/f/14/d,WEBP,292,108,True,8996,RGBA
eaRig,ogre/anims/death/f/15/d,WEBP,292,108,True,9006,RGBA
eaRig,ogre/anims/dmg/f/0/d,WEBP,193,296,True,16236,RGBA
eaRig,ogre/anims/dmg/f/1/d,WEBP,201,303,True,14740,RGBA
eaRig,ogre/anims/dmg/f/2/d,WEBP,192,271,True,15012,RGBA
eaRig,ogre/anims/dmg/f/3/d,WEBP,198,283,True,14986,RGBA
eaRig,ogre/anims/dmg/f/4/d,WEBP,189,284,True,15440,RGBA
eaRig,ogre/anims/dmg/f/5/d,WEBP,185,285,True,16070,RGBA
eaRig,ogre/anims/dmg/f/6/d,WEBP,188,286,True,16366,RGBA
eaRig,ogre/anims/dmg/f/7/d,WEBP,188,287,True,16310,RGBA
eaRig,ogre/anims/dmg/f/8/d,WEBP,187,289,True,16390,RGBA
eaRig,ogre/anims/dmg/f/9/d,WEBP,187,291,True,16164,RGBA
eaRig,ogre/anims/dmg/f/10/d,WEBP,189,293,True,16168,RGBA
eaRig,ogre/anims/dmg/f/11/d,WEBP,191,295,True,16242,RGBA
eaRig,ogre/anims/dmg/f/12/d,WEBP,192,296,True,16318,RGBA
eaRig,ogre/anims/idle/f/0/d,WEBP,193,296,True,16356,RGBA
eaRig,ogre/anims/idle/f/1/d,WEBP,192,296,True,16092,RGBA
eaRig,ogre/anims/idle/f/2/d,WEBP,190,294,True,16282,RGBA
eaRig,ogre/anims/idle/f/3/d,WEBP,188,292,True,16282,RGBA
